City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
250,Skibbereen,10.9995,122.6711,86.32,68,79,20.45,PH,broken clouds
251,San Andres,10.9878,-74.9547,82.49,76,6,22.35,CO,clear sky
252,Koumac,-20.2333,164.0167,72.36,63,1,10.56,NC,clear sky
253,Benton,22.0752,-159.319,80.92,79,75,5.01,US,light rain
254,Gubkinskiy,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
255,Norman Wells,70.4692,-68.5914,37.63,100,90,2.3,CA,light rain
256,Longyearbyen,78.2186,15.6401,44.44,65,0,3.44,SJ,clear sky
257,Taltal,-53.15,-70.9167,33.91,100,75,4.61,CL,broken clouds
258,Aksu,30.5092,117.0506,90.05,53,61,8.86,CN,broken clouds
259,Tottori,34.0667,134.15,90.01,45,98,6.82,JP,overcast clouds
260,Alta Floresta,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
261,Luderitz,-19.5667,18.1167,38.77,70,0,5.75,NA,clear sky
262,Tura,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
263,Ahipara,-46.6,168.3333,48.79,61,46,10.33,NZ,scattered clouds
264,Garissa,1.2511,35.0895,58.23,82,23,3.91,KE,few clouds
265,Igatpuri,34.1667,77.5833,62.13,48,30,5.55,IN,scattered clouds
266,Dongsheng,30.5092,117.0506,90.05,53,61,8.86,CN,broken clouds
267,Caucaia,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
268,Ternate,3.3,117.6333,83.7,70,20,4.61,ID,few clouds
269,Flagstaff,22.0752,-159.319,80.92,79,75,5.01,US,light rain
270,Khorramshahr,38.6066,44.9883,85.32,39,0,4.61,IR,clear sky
271,Nago,34.0667,134.15,90.01,45,98,6.82,JP,overcast clouds
272,Faanui,-46.1927,168.8643,48.47,90,45,2.89,NZ,light rain
273,Burnie,42.6001,-73.9662,61.61,94,1,4.21,US,clear sky
274,Huntley,22.0752,-159.319,80.92,79,75,5.01,US,light rain
275,Danjiangkou,30.5092,117.0506,90.05,53,61,8.86,CN,broken clouds
276,Nikel,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
277,Rocha,-33.6971,-53.4616,46.27,81,99,5.44,UY,overcast clouds
278,Eirunepe,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
279,Merrill,22.0752,-159.319,80.92,79,75,5.01,US,light rain
280,Jabiru,42.6001,-73.9662,61.61,94,1,4.21,US,clear sky
281,Lago Da Pedra,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
282,Manicore,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
283,Kastamonu,40.7994,30.7481,66.52,78,6,3.15,TR,clear sky
284,Olafsvik,65.0757,-22.7297,52.81,95,99,11.65,IS,overcast clouds
285,Khor,35.3029,37.1841,77.61,64,0,16.08,SY,clear sky
286,Lavrentiya,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
287,Krasnoarmeysk,44.1667,52.1167,92.91,23,1,1.25,KZ,clear sky
